"Story","Title","Result","Date","Stability","Duration (s)"
"Products test","Create and Verify if the products was added to the application","ERROR","2021-08-04T22:22:37.238+01:00[Europe/London]","0.0","0.5"
"Products test","Update product information with patch and verify it","FAILURE","2021-08-04T22:22:37.744+01:00[Europe/London]","0.0","0.04"
"Products test","Delete products information with id and verify it","FAILURE","2021-08-04T22:22:37.783+01:00[Europe/London]","0.0","0.02"
"Products test","Update products information and verify the updated information","FAILURE","2021-08-04T22:22:37.802+01:00[Europe/London]","0.0","0.03"
