"Story","Title","Result","Date","Stability","Duration (s)"
"Products test","This will create new product","SUCCESS","2021-08-04T22:22:37.140+01:00[Europe/London]","0.0","0.1"
"Products test","Create and Verify if the products was added to the application","ERROR","2021-08-04T22:22:37.238+01:00[Europe/London]","0.0","0.5"
"Products test","Update product information with patch and verify it","FAILURE","2021-08-04T22:22:37.744+01:00[Europe/London]","0.0","0.04"
"Products test","Delete products information with id and verify it","FAILURE","2021-08-04T22:22:37.783+01:00[Europe/London]","0.0","0.02"
"Products test","Update products information and verify the updated information","FAILURE","2021-08-04T22:22:37.802+01:00[Europe/London]","0.0","0.03"
"Products test","This will get all products","SUCCESS","2021-08-04T22:22:37.838+01:00[Europe/London]","0.0","0.22"
"Products test","This will get single product with id","SUCCESS","2021-08-04T22:22:38.060+01:00[Europe/London]","0.0","0.05"
"Products test","This will get products with parameters","SUCCESS","2021-08-04T22:22:38.108+01:00[Europe/London]","0.0","0.23"
