"Story","Title","Result","Date","Stability","Duration (s)"
"Categories test","Create and Verify if the categories was added to the application","SUCCESS","2021-08-04T22:22:30.777+01:00[Europe/London]","0.0","4.12"
"Categories test","Update categories information and verify the updated information","SUCCESS","2021-08-04T22:22:34.921+01:00[Europe/London]","0.0","0.1"
"Categories test","Update categories information with patch request and verify the updated information","SUCCESS","2021-08-04T22:22:35.020+01:00[Europe/London]","0.0","0.06"
"Categories test","Delete categories information with id and verify it","SUCCESS","2021-08-04T22:22:35.080+01:00[Europe/London]","0.0","0.18"
"Categories test","This will create new categories","SUCCESS","2021-08-04T22:22:35.266+01:00[Europe/London]","0.0","0.08"
"Categories test","This will get all categories","SUCCESS","2021-08-04T22:22:35.349+01:00[Europe/London]","0.0","0.14"
"Categories test","This will get single categories with id","SUCCESS","2021-08-04T22:22:35.490+01:00[Europe/London]","0.0","0.04"
"Categories test","This will get categories with parameters","SUCCESS","2021-08-04T22:22:35.532+01:00[Europe/London]","0.0","0.1"
