"Story","Title","Result","Date","Stability","Duration (s)"
"Stores test","Create and Verify the stores was added to the application","SUCCESS","2021-08-04T22:22:38.777+01:00[Europe/London]","0.0","0.06"
"Stores test","Update stores information and verify updated information","SUCCESS","2021-08-04T22:22:38.841+01:00[Europe/London]","0.0","0.05"
"Stores test","Update stores information with patch request and verify information","SUCCESS","2021-08-04T22:22:38.887+01:00[Europe/London]","0.0","0.04"
"Stores test","This will delete the stores information","SUCCESS","2021-08-04T22:22:38.925+01:00[Europe/London]","0.0","0.05"
"Stores test","Create new store","SUCCESS","2021-08-04T22:22:38.976+01:00[Europe/London]","0.0","0.05"
"Stores test","This will get all stores information","SUCCESS","2021-08-04T22:22:39.022+01:00[Europe/London]","0.0","0.06"
"Stores test","This will get single stores information","SUCCESS","2021-08-04T22:22:39.080+01:00[Europe/London]","0.0","0.03"
"Stores test","This will get stores information with parameters limit and skip","SUCCESS","2021-08-04T22:22:39.112+01:00[Europe/London]","0.0","0.04"
